[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,NI5E11 OUT-OF-PLANE 5K 8T.DAT
FILEOPENTIME,40189118.86,04/10/2024,2:41 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC433,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,354,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,339,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 D0,OVEN_HW_VERSION
INFO,OVN180,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,LB602,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Ni5e11 out-of-plane,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,40189190.795,5.00824475,1796.48114013672,-0.879716757732438,0.00125346487603713,1,0.999253354069792,40.0298881530762,1.98919202435505,11.6100003942847,-4.41765916357016,-0.992696873115694,25,-0.0158893555545418,-0.825394548574245,-0.0383232235831168,5.0075622,5.0089273,1786.08825683594,1806.8740234375,48.5227168453321,18.3939294256926,7.429356,0,0,0,40,4961,5.0045,1796.48114013672,,,,,,,,,,,,,0,,,,0.6485717,,,,,,5.00824475,,,,
,40189192.98,5.0044565,1949.90759277344,-0.932680002536571,0.00122966949920697,1,0.999253354069792,40.0298881530762,1.98921906125925,11.6200000047684,-4.68386468264376,-1.05279981097738,25,-0.0168516843380742,-0.875129721158012,-0.0406829882006996,5.0044565,5.0044565,1939.45544433594,1960.35974121094,48.8267703393129,18.39593382891,7.429356,0,0,0,40,4961,4.99665,1949.90759277344,,,,,,,,,,,,,0,,,,0.65843755,,,,,,5.0044565,,,,
,40189195.445,4.9973288,2120.8154296875,-1.00703586988483,0.00107358263501565,1,0.999253354069792,40.0298881530762,1.98930243108394,11.6200000047684,-5.05782931283355,-1.13655273865916,25,-0.0180789477709003,-0.944952716133775,-0.0438747866947867,4.9973288,4.9973288,2106.9580078125,2134.6728515625,48.9041515627167,18.3913269748386,7.429356,0,0,0,40,4961,4.9953,2120.8154296875,,,,,,,,,,,,,0,,,,0.65843755,,,,,,4.9973288,,,,
,40189197.58,4.996964,2266.83801269531,-1.05308842128971,0.00101686599241415,1,0.999253354069792,40.0298881530762,1.98906412553494,11.6100003942847,-5.28871189351185,-1.18873217039412,25,-0.0189090855254092,-0.988213379089913,-0.0459364289334654,4.996964,4.996964,2252.98291015625,2280.69311523438,48.6946751195628,18.3943638570413,8.168791,0,0,0,40,4961,4.99315,2266.83801269531,,,,,,,,,,,,,0,,,,0.6616604,,,,,,4.996964,,,,
,40189199.735,4.99416875,2416.552734375,-1.09610413413198,0.00100010858393496,1,0.999253354069792,40.0298881530762,1.98915866344929,11.6100003942847,-5.50524187687677,-1.23758750687439,25,-0.0196596174774937,-1.02863093180399,-0.0478484301840852,4.9934444,4.9948931,2406.07446289062,2427.03100585938,49.6896882245437,18.3954250169157,7.429356,0,0,0,40,4961,4.99125,2416.552734375,,,,,,,,,,,,,0,,,,0.6649819,,,,,,4.99416875,,,,
,40189201.985,4.9938707,2576.87634277344,-1.13653556639947,0.000935727983521099,1,0.999253354069792,40.0298881530762,1.98894228117306,11.6100003942847,-5.70798960425855,-1.28333462567327,25,-0.0203527106821971,-1.0666320553357,-0.0496462566614766,4.9938707,4.9938707,2566.38525390625,2587.36743164062,49.2277457696783,18.3946372025976,8.168791,0,0,0,40,4961,4.99105,2576.87634277344,,,,,,,,,,,,,0,,,,0.6616604,,,,,,4.9938707,,,,
,40189204.21,4.993597,2730.40747070313,-1.17417452922346,0.000850876955115602,1,0.999253354069792,40.0298881530762,1.98913864046838,11.6200000047684,-5.89786881524019,-1.32623209234503,25,-0.0210018590127277,-1.10201451602051,-0.0513299682320707,4.993597,4.993597,2719.96142578125,2740.853515625,48.9447962457167,18.3972814137599,7.429356,0,0,0,40,4961,4.9973,2730.40747070313,,,,,,,,,,,,,0,,,,0.6485717,,,,,,4.993597,,,,
,40189206.91,4.9997368,2918.53540039063,-1.22537534730355,0.000752246118237838,1,0.999253354069792,40.0298881530762,1.98888559436508,11.6200000047684,-6.15460345495615,-1.3844497562013,25,-0.0219272373231505,-1.15014348297323,-0.0536584931564826,4.9997368,4.9997368,2908.07250976562,2928.99829101562,48.4766007626974,18.3965935380262,7.429356,0,0,0,40,4961,5.0042,2918.53540039063,,,,,,,,,,,,,0,,,,0.6485717,,,,,,4.9997368,,,,
,40189209.44,5.0051417,3096.43017578125,-1.27048330688977,0.000682120195980466,1,0.999253354069792,40.0298881530762,1.98913928903822,11.6100003942847,-6.38244053696556,-1.43533827599648,25,-0.0225839094720996,-1.1925606890852,-0.0555728230704374,5.0051417,5.0051417,3075.54125976562,3117.31909179687,49.4403487269091,18.3915921436606,7.429356,0,0,0,40,4961,5.0049,3096.43017578125,,,,,,,,,,,,,0,,,,0.6485717,,,,,,5.0051417,,,,
,40189211.765,5.0063257,3256.97033691406,-1.29713736674008,0.000618538551885694,1,0.999253354069792,40.0298881530762,1.98895393153932,11.6100003942847,-6.51596675096428,-1.46620272644202,25,-0.0231401729688585,-1.21764731809029,-0.0568908591901533,5.005661,5.0069904,3243.03515625,3270.90551757812,48.6047878398513,18.3937963737644,7.429356,0,0,0,40,4961,5.00725,3256.97033691406,,,,,,,,,,,,,0,,,,0.6683034,,,,,,5.0063257,,,,
,40189213.78,5.0065222,3396.40258789063,-1.32087917818741,0.000512647916314327,1,0.999253354069792,40.0298881530762,1.98891225934663,11.6100003942847,-6.63529408600853,-1.49377772235277,25,-0.0236333671467395,-1.23999449526159,-0.0580640796507391,5.0065222,5.0065222,3389.388671875,3403.41650390625,48.566488042409,18.395246908386,8.168791,0,0,0,40,4961,5.00605,3396.40258789063,,,,,,,,,,,,,0,,,,0.6616604,,,,,,5.0065222,,,,
,40189216.17,5.0062618,3563.7529296875,-1.34201728695812,0.000494323216557639,1,0.999253354069792,40.0298881530762,1.9892528972605,11.6100003942847,-6.74316274074821,-1.51737770331475,25,-0.0237989820514612,-1.25992059534867,-0.0588752235526589,5.0062618,5.0062618,3549.79028320313,3577.71557617188,49.4645792110052,18.3942618445896,8.168791,0,0,0,40,4961,5.00465,3563.7529296875,,,,,,,,,,,,,0,,,,0.65843755,,,,,,5.0062618,,,,
,40189218.62,5.0050712,3734.57983398438,-1.36932209766378,0.000372377315414815,1,0.999253354069792,40.0298881530762,1.98942975657435,11.6100003942847,-6.88154518468132,-1.54778746739846,25,-0.0240579929178354,-1.28564188166954,-0.05994712134812,5.0050712,5.0050712,3717.18041992188,3751.97924804687,48.5266249879282,18.3957175666359,7.429356,0,0,0,40,4961,5.0059,3734.57983398438,,,,,,,,,,,,,0,,,,0.65511605,,,,,,5.0050712,,,,
,40189220.855,5.0057387,3891.65209960937,-1.38420100149464,0.000387637390180296,1,0.999253354069792,40.0298881530762,1.98897661701496,11.6100003942847,-6.9549645505197,-1.56544606171433,25,-0.0244551334723037,-1.29968358505709,-0.0608060000428673,5.0057387,5.0057387,3884.62524414063,3898.67895507812,49.7201717367937,18.3989930340002,8.168791,0,0,0,40,4961,5.0045,3891.65209960937,,,,,,,,,,,,,0,,,,0.6485717,,,,,,5.0057387,,,,
,40189223.1,5.0033994,4048.54248046875,-1.39713220587239,0.00031571217033312,1,0.999253354069792,40.0298881530762,1.98893998612089,11.6100003942847,-7.0201408595044,-1.58059962280378,25,-0.0246928459690355,-1.31190207666595,-0.0614638241689802,5.0022688,5.00453,4038.09985351562,4058.98510742188,48.1428453849859,18.3984971770978,8.168791,0,0,0,40,4961,4.99925,4048.54248046875,,,,,,,,,,,,,0,,,,0.65843755,,,,,,5.0033994,,,,
,40189225.29,4.9999909,4202.04272460937,-1.4132498089397,0.000232522584137708,1,0.999253354069792,40.0298881530762,1.9890091094971,11.6100003942847,-7.10182106071365,-1.59884038872906,25,-0.0248674680615659,-1.3271164670747,-0.0621499482932872,4.9999909,4.9999909,4191.59130859375,4212.494140625,48.9659002157359,18.3950066824036,8.168791,0,0,0,40,4961,4.99545,4202.04272460937,,,,,,,,,,,,,0,,,,0.65511605,,,,,,4.9999909,,,,
,40189227.47,4.9953055,4352.0498046875,-1.42148088498331,0.000230266681827385,1,0.999253354069792,40.0298881530762,1.98893609683877,11.6100003942847,-7.14327047373967,-1.60856494990883,25,-0.0250059427079241,-1.33492239107939,-0.062585561149127,4.9953055,4.9953055,4338.10498046875,4365.99462890625,48.6946751195628,18.39966179298,7.429356,0,0,0,40,4961,4.99065,4352.0498046875,,,,,,,,,,,,,0,,,,0.65511605,,,,,,4.9953055,,,,
,40189229.715,4.994319,4509.248046875,-1.42797472684616,0.000237568419864443,1,0.999253354069792,40.0298881530762,1.9889307817891,11.6100003942847,-7.17625445526748,-1.61637983798877,25,-0.0251081467355884,-1.34110216320876,-0.0629443355628038,4.994319,4.994319,4498.77001953125,4519.72607421875,48.8830475926975,18.3979285092334,7.429356,0,0,0,40,4961,4.9974,4509.248046875,,,,,,,,,,,,,0,,,,0.6616604,,,,,,4.994319,,,,
,40189231.865,4.99984695,4659.73071289063,-1.43302331951575,0.000179540397976961,1,0.999253354069792,40.0298881530762,1.98926078779772,11.6100003942847,-7.20302437189948,-1.62341989405099,25,-0.0253059262336636,-1.34591908306902,-0.063350490164412,4.9983354,5.0013585,4652.6787109375,4666.78271484375,49.0854893791783,18.3953260686111,8.168791,0,0,0,40,4961,5.0049,4659.73071289063,,,,,,,,,,,,,0,,,,0.6485717,,,,,,4.99984695,,,,
,40189234.29,5.004374,4830.91162109375,-1.43741844936826,0.000148148452203614,1,0.999253354069792,40.0298881530762,1.98924352531552,11.6200000047684,-7.22561654475079,-1.62818636143617,25,-0.0252276197512949,-1.35014165257127,-0.063491254997376,5.004374,5.004374,4820.375,4841.4482421875,48.8455294237744,18.3976281373704,7.429356,0,0,0,40,4961,5.0073,4830.91162109375,,,,,,,,,,,,,0,,,,0.65511605,,,,,,5.004374,,,,
,40189236.95,5.0064831,5015.89916992188,-1.43903427186939,0.000166350700535881,1,0.999253354069792,40.0298881530762,1.98894116872548,11.6100003942847,-7.23323540400885,-1.6297679213337,25,-0.0251279695458372,-1.35176146350007,-0.0635433220970566,5.0064831,5.0064831,5008.91162109375,5022.88671875,48.4054725674474,18.3938878726963,8.168791,0,0,0,40,4961,5.00835,5015.89916992188,,,,,,,,,,,,,0,,,,0.6683034,,,,,,5.0064831,,,,
,40189239.32,5.0072675,5179.95654296875,-1.43893566779208,0.000219883050927591,1,0.999253354069792,40.0298881530762,1.98908010486435,11.6100003942847,-7.23346426824609,-1.63110158798539,25,-0.025277933607554,-1.35175275752374,-0.0637714262271291,5.0072675,5.0072675,5169.5380859375,5190.375,48.7259402603321,18.3945400951286,8.168791,0,0,0,40,4961,5.00855,5179.95654296875,,,,,,,,,,,,,0,,,,0.65511605,,,,,,5.0072675,,,,
,40189241.625,5.007266,5344.14233398438,-1.43714940177842,0.000101903158926586,1,0.999253354069792,40.0298881530762,1.98907967820676,11.6200000047684,-7.22485779337058,-1.62973738423389,25,-0.0252643954891742,-1.35016298740375,-0.0637991751329539,5.007266,5.007266,5337.15185546875,5351.1328125,48.7947235700244,18.3958197925701,8.168791,0,0,0,40,4961,5.0059,5344.14233398438,,,,,,,,,,,,,0,,,,0.6616604,,,,,,5.007266,,,,
,40189243.36,5.00427005,5463.0166015625,-1.43479803722986,0.000218490919994022,1,0.999253354069792,40.0298881530762,1.98891143392135,11.6100003942847,-7.21291194178253,-1.62646258762209,25,-0.0250470549268455,-1.34802343686256,-0.0635946727515024,5.0022511,5.006289,5455.99365234375,5470.03955078125,48.9635553301783,18.396677112951,8.168791,0,0,0,40,4961,4.9993,5463.0166015625,,,,,,,,,,,,,0,,,,0.65511605,,,,,,5.00427005,,,,
,40189245.31,4.9997964,5602.81860351562,-1.43085700983681,0.000193260646987314,1,0.999253354069792,40.0298881530762,1.98905517196426,11.6100003942847,-7.19387776162577,-1.6229214435382,25,-0.0250426911429883,-1.34439514473672,-0.0635573429691636,4.9997964,4.9997964,5595.787109375,5609.85009765625,48.7783093711206,18.3943826774341,8.168791,0,0,0,40,4961,5.00155,5602.81860351562,,,,,,,,,,,,,0,,,,0.6683034,,,,,,4.9997964,,,,
,40189247.69,5.0023804,5763.42749023438,-1.42612066959817,0.000212323814141622,1,0.999253354069792,40.0298881530762,1.98929293471518,11.6200000047684,-7.17121014772083,-1.61868830461659,25,-0.0250372908203803,-1.34003064158804,-0.0635079399272831,5.0023804,5.0023804,5756.38916015625,5770.4658203125,48.5367861586782,18.3933880832597,7.059639,0,0,0,40,4961,5.0031,5763.42749023438,,,,,,,,,,,,,0,,,,0.6649819,,,,,,5.0023804,,,,
,40189249.74,5.0024695,5910.22875976563,-1.42069871305231,0.000212334554222215,1,0.999253354069792,40.0298881530762,1.9893632446888,11.6200000047684,-7.14473465418339,-1.61221065547043,25,-0.0247657904242318,-1.33502141924184,-0.0631811565407339,5.0024695,5.0024695,5903.29931640625,5917.158203125,48.9440146171975,18.3939611849264,7.429356,0,0,0,40,4961,5.0003,5910.22875976563,,,,,,,,,,,,,0,,,,0.6616604,,,,,,5.0024695,,,,
,40189251.845,4.9989519,6057.09912109375,-1.4148407567424,0.00026191370759134,1,0.999253354069792,40.0298881530762,1.98904266732583,11.6200000047684,-7.11449424026975,-1.60592073888774,25,-0.0246835049183731,-1.3295968666171,-0.06301957876095,4.9989519,4.9989519,6050.10986328125,6064.08837890625,48.5453840723898,18.4014597575757,8.168791,0,0,0,40,4961,4.9969,6057.09912109375,,,,,,,,,,,,,0,,,,0.6485717,,,,,,4.9989519,,,,
,40189253.965,4.9985642,6204.08984375,-1.40810489131699,0.000268630034053737,1,0.999253354069792,40.0298881530762,1.98937623650456,11.6200000047684,-7.08208975087975,-1.59929686742972,25,-0.0246156643019646,-1.32334628962161,-0.0628463856908094,4.9985642,4.9985642,6197.07666015625,6211.10302734375,49.1480196607167,18.3867941033784,8.168791,0,0,0,40,4961,4.9986,6204.08984375,,,,,,,,,,,,,0,,,,0.6485717,,,,,,4.9985642,,,,
,40189256.015,5.0008426,6350.95825195313,-1.40049982007025,0.000248037204898553,1,0.999253354069792,40.0298881530762,1.98902096118991,11.6100003942847,-7.04288846244729,-1.59129499712744,25,-0.0245630810493519,-1.31627754585971,-0.0626622972293358,5.0008426,5.0008426,6343.966796875,6357.94970703125,49.8561750991399,18.3967731515545,7.429356,0,0,0,40,4961,5.001,6350.95825195313,,,,,,,,,,,,,0,,,,0.65511605,,,,,,5.0008426,,,,
