[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,40031144.98,04/08/2024,6:48 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC433,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,354,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,339,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 D0,OVEN_HW_VERSION
INFO,OVN180,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,LB602,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Ni5e11 out-of-plane,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,40031209.04,29.9932861,1862.76861572266,-0.323398613282993,0.00111196384705044,1,0.999253354069792,40.0298881530762,2.00211554878762,11.570000089705,-1.64070972239855,-0.371904723291728,2.5,-0.00519147626654658,-0.304718112069385,-0.014718280635851,29.9932861,29.9932861,1855.76782226562,1869.76940917969,50.0679964278515,18.4225322982925,7.059639,0,0,0,40,4961,30.0547,1862.76861572266,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9932861,,,,
,40031214.88,29.9936008,2270.42822265625,-0.4544340380878,0.00088015031915139,1,0.999253354069792,40.0298881530762,2.00218675455135,11.5799997001886,-2.30595375471939,-0.522307457083572,25,-0.00717367266740803,-0.428246574450625,-0.0206157827829627,29.9936008,29.9936008,2260.06909179687,2280.78735351562,49.2957474508514,18.4261234199919,6.689921,0,0,0,40,4961,30.0549,2270.42822265625,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9936008,,,,
,40031217.395,29.993681,2444.59533691406,-0.49161422551413,0.000819597404498424,1,0.999253354069792,40.0298881530762,2.00207644567451,11.5799997001886,-2.49466366461419,-0.564922957695992,25,-0.00771384371493068,-0.46331339217989,-0.0222812294912415,29.993681,29.993681,2434.125,2455.06567382813,48.9823144146398,18.4274520494369,7.799073,0,0,0,40,4961,30.0551,2444.59533691406,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.993681,,,,
,40031219.93,29.9938431,2622.35510253906,-0.541390088273936,0.000717269197371974,1,0.999253354069792,40.0298881530762,2.00201075844682,11.5900002419949,-2.74734415364269,-0.622099183059904,25,-0.00846072964562468,-0.510256602838384,-0.0245310013666004,29.9938431,29.9938431,2615.41821289062,2629.2919921875,48.8369315100629,18.4175009097362,7.799073,0,0,0,40,4961,30.0555,2622.35510253906,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9938431,,,,
,40031222.18,29.9940968,2779.27038574219,-0.570556644339398,0.000614854005073236,1,0.999253354069792,40.0298881530762,2.0021816174217,11.5799997001886,-2.89564003971837,-0.656270393086188,25,-0.00900320208672077,-0.537773080134823,-0.0259586282365044,29.9940968,29.9940968,2768.92016601562,2789.62060546875,48.7157790895821,18.424656808155,7.059639,0,0,0,40,4961,30.0556,2779.27038574219,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9940968,,,,
,40031224.775,29.9945393,2956.92980957031,-0.596268534149216,0.000542745608763739,1,0.999253354069792,40.0298881530762,2.00214082645376,11.5900002419949,-3.02638937480662,-0.685296031316052,25,-0.00926619411778062,-0.562047635334558,-0.0270228107475235,29.9945393,29.9945393,2949.9267578125,2963.93286132812,49.4567629258129,18.422318314644,7.059639,0,0,0,40,4961,30.0555,2956.92980957031,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9945393,,,,
,40031227.54,29.9947548,3152.13623046875,-0.637163523594441,0.000396810765433375,1,0.999253354069792,40.0298881530762,2.00197880116892,11.5799997001886,-3.23397786619745,-0.732084937720768,25,-0.00982657725154571,-0.600640590905586,-0.0288398220160004,29.9947548,29.9947548,3131.2001953125,3173.072265625,48.8799210786206,18.4226258521938,7.799073,0,0,0,40,4961,30.05595,3152.13623046875,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9947548,,,,
,40031229.945,29.99474715,3319.86352539063,-0.652778546268582,0.000347391197242896,1,0.999253354069792,40.0298881530762,2.00216462700323,11.5799997001886,-3.31371994830696,-0.750242091287037,25,-0.0100569927126122,-0.615398574535088,-0.0295671453433075,29.9947014,29.9947929,3312.875,3326.85205078125,49.2386885689475,18.4230245264144,7.799073,0,0,0,40,4961,30.0556,3319.86352539063,,,,,,,,,,,,,0,,,,1.07955625,,,,,,29.99474715,,,,
,40031232.87,29.99443055,3521.98754882812,-0.671084986067873,0.000260607222554496,1,0.999253354069792,40.0298881530762,2.00215121810225,11.5799997001886,-3.40690623501713,-0.771247185808548,25,-0.0102840141051475,-0.632705624433027,-0.0303822526446983,29.9944153,29.9944458,3514.97778320313,3528.99731445313,49.3793817024091,18.4241070097096,7.799073,0,0,0,40,4961,30.055,3521.98754882812,,,,,,,,,,,,,0,,,,1.07955625,,,,,,29.99443055,,,,
,40031235.895,29.9943428,3734.74548339844,-0.684039422673612,0.000185479980751832,1,0.999253354069792,40.0298881530762,2.00214843502465,11.5799997001886,-3.47293126689713,-0.786295234521692,25,-0.0104606925010414,-0.644971379866527,-0.0309892145035196,29.9943428,29.9943428,3724.24951171875,3745.24145507812,48.9682451012936,18.4261669420308,7.059639,0,0,0,40,4961,30.05485,3734.74548339844,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9943428,,,,
