R(H = 0.3),T(H = 0.3),R(H = 1.0),T(H = 1.0),R(H = 3.0),T(H = 3.0),R(H = 9.0),T(H = 9.0)
0.0027150003728294,90.0610619,0.0027158419177031,90.058033,0.002649208101975,88.0377579,0.002646857980363,86.0320015
0.0027092199981466,89.9768257,0.0027108955657926,89.97940825,0.0026449258789881,87.9799118,0.0026431990240807,85.9780159
0.0027065756785327,89.90919495,0.002709162170358,89.9232254,0.0026431425367511,87.92786405,0.0026411240683784,85.92763135
0.0027031655147371,89.8207436,0.0027065124011028,89.84548185,0.0026402178292823,87.85035325,0.0026377226909541,85.83857345
0.002701902448497,89.76628115,0.0027040518857026,89.7727661,0.0026378937038044,87.7811203,0.0026355700314578,85.77054595
0.0026997633653243,89.71329115,0.0027021093660035,89.71401975,0.0026356601901517,87.7229309,0.0026342361449359,85.723938
0.0026963918713607,89.64927295,0.0026995182588662,89.64941405,0.0026327462575408,87.65353015,0.0026314330074845,85.65953445
0.0026916080472099,89.55099865,0.0026959147624803,89.5673256,0.0026294146839227,87.5699806,0.0026279066330898,85.5686226
0.0026882349089269,89.4729843,0.0026926328778958,89.4826355,0.0026256746547652,87.48062135,0.0026249398684259,85.4883957
0.0026852370836303,89.4059563,0.0026894788771866,89.39987945,0.0026225856084403,87.40092465,0.0026229571998085,85.4213142
0.0026812016321821,89.33405685,0.0026862682554879,89.3162384,0.0026196611839151,87.32284545,0.002620124506201,85.3496437
0.0026765529108633,89.25207135,0.0026829742168904,89.23745725,0.0026161181480264,87.2484322,0.0026168328074463,85.26940155
0.0026716091423586,89.1637497,0.0026791639205546,89.14426805,0.0026120960366124,87.1548157,0.0026137156419407,85.186203
0.0026664712615897,89.0801773,0.0026756272512063,89.05480575,0.0026086249548198,87.06879805,0.0026107681376243,85.10596085
0.0026597917270309,88.9871597,0.0026719625573079,88.97068025,0.0026054017978085,86.96853255,0.0026072547660035,85.01332855
0.0026528709598312,88.8965263,0.0026686415807322,88.88770675,0.002602125324837,86.8884773,0.0026037108867811,84.91991805
0.0026449296933671,88.80825045,0.0026644171791966,88.8080101,0.0025976943274247,86.79206085,0.0026008475423072,84.8390274
0.0026375035461961,88.72810365,0.0026602723941124,88.7177391,0.0025944324211547,86.70859145,0.0025975471071459,84.75592045
0.0026261670378015,88.6380844,0.0026561559814519,88.6267891,0.0025901565598279,86.61768725,0.0025943816588955,84.67124175
0.0026165322171467,88.56210325,0.0026524104051987,88.5482597,0.002587168631733,86.5416527,0.002590791530279,84.5787849
0.0026027120798259,88.48187255,0.0026483776035657,88.46704865,0.0025829007643839,86.4586525,0.0025873535172116,84.48633195
0.002585498759407,88.40061955,0.0026443297907106,88.38498685,0.0025794589935416,86.38136675,0.0025848483687406,84.41036985
0.0025656792249166,88.32336045,0.0026396934477689,88.29717255,0.002575593819633,86.29789355,0.0025818072135286,84.3311081
0.0025371807358344,88.24335865,0.0026349922799334,88.2162437,0.0025710808718459,86.2059784,0.0025788600935082,84.2511864
0.0024946735054939,88.153141,0.0026299976683222,88.1305008,0.0025670267127809,86.11870575,0.0025759693925547,84.1744347
0.0024429692045813,88.0727272,0.002625242328254,88.041111,0.0025633549914314,86.0420456,0.0025722969777714,84.08460615
0.0023771724998214,87.9900246,0.0026197743135273,87.9584389,0.0025591246768236,85.95603565,0.002569292484123,84.0023193
0.0022773621097061,87.90978625,0.002613794304031,87.8788643,0.0025541453034581,85.8686905,0.0025659559183785,83.918354
0.0021532158699215,87.8301239,0.0026075966191996,87.78871535,0.0025502777441841,85.7905579,0.0025631397125771,83.83876415
0.0019874756779069,87.7460327,0.0026009712632815,87.71139145,0.0025455813051227,85.7089233,0.0025600077182574,83.7566681
0.0018064383298095,87.66788485,0.0025931160966464,87.63022995,0.0025415293342663,85.6336937,0.0025563561421344,83.6666412
0.0015947233909249,87.5909309,0.0025852942806243,87.55895995,0.00253596725927,85.5476456,0.0025534060547534,83.58818435
0.0013321955360493,87.5088272,0.0025752198341232,87.4786339,0.0025309718632006,85.4681549,0.0025501326249855,83.50530245
0.0010525556633844,87.4258995,0.0025637683400617,87.39523315,0.0025261200711847,85.3899269,0.0025471880176795,83.4241562
0.000778796977817,87.343338,0.0025502459416889,87.3094254,0.0025200909232801,85.3058968,0.0025444952417711,83.35024265
0.0005380986163662,87.25871655,0.0025363138835328,87.2321434,0.0025150014899301,85.23106385,0.0025415366748082,83.2713509
0.0003118735519416,87.1489296,0.0025196432041961,87.15795135,0.0025084338442781,85.1507683,0.0025383146797578,83.1901741
0.0001439283197662,87.05432125,0.0024956580178924,87.07920075,0.0025011272417591,85.0681076,0.0025352694386234,83.10963825
5.44683756537422e-05,86.9346466,0.0024707402326286,87.0000191,0.0024942587312657,84.9867859,0.0025322437840427,83.0293579
2.03356240615303e-05,86.81994625,0.0024357238093503,86.91936495,0.0024864244926632,84.9108009,0.002528742356969,82.9449806
7.35847994027282e-06,86.72475435,0.0023852023151889,86.82210925,0.0024778967378272,84.82942585,0.0025253447742212,82.85907365
2.10260474347916e-06,86.62148285,0.0023228010864378,86.73574445,0.0024682700491711,84.7440338,0.0025221200014632,82.77692795
6.50713216756552e-07,86.5258713,0.0022588452282852,86.66105655,0.0024560116631608,84.6436653,0.0025194430882026,82.70079805
2.86718568861415e-07,86.4426231,0.0021663671470371,86.57761385,0.0024440736563026,84.5589943,0.0025157049923567,82.6153679
1.46666477429615e-07,86.35969165,0.0020407040066062,86.4913101,0.0024326867981809,84.48529435,0.002512090764183,82.5253372
