,time1,CH1,CH2,CH3,CH23,time_step,time_delay,I_base,I_step
52,108.0,-13.097500000000002,0.13749999999999898,0.10250000000000001,0.034999999999999,2.0,1000.0,1.0,90.0
53,110.0,-12.480000000000002,-0.04,-0.08499999999999899,0.044999999999999,2.0,1000.0,1.0,90.0
54,112.0,-12.715,0.074999999999999,0.024999999999999,0.05,2.0,1000.0,1.0,90.0
55,114.0,-12.712500000000002,0.05,-0.0075,0.057499999999999996,2.0,1000.0,1.0,90.0
56,116.0,-12.425,-0.032499999999999,-0.08,0.0475,2.0,1000.0,1.0,90.0
57,118.0,-11.807500000000001,-0.1875,-0.20500000000000002,0.0175,2.0,1000.0,1.0,90.0
58,120.0,-12.84,0.024999999999999,-0.01,0.034999999999999,2.0,1000.0,1.0,90.0
59,122.0,-12.642500000000002,0.05,-0.002499999999999,0.052499999999999,2.0,1000.0,1.0,90.0
60,124.0,-12.825,-0.0,-0.047499999999999,0.047499999999999,2.0,1000.0,1.0,90.0
61,126.0,-12.5675,-0.077499999999999,-0.1225,0.045,2.0,1000.0,1.0,90.0
62,128.0,-12.515,0.012499999999999001,-0.0175,0.03,2.0,1000.0,1.0,90.0
63,130.0,-12.742500000000001,-0.022499999999999,-0.07,0.0475,2.0,1000.0,1.0,90.0
64,132.0,-12.642500000000002,0.057499999999999996,0.012499999999999001,0.045,2.0,1000.0,1.0,90.0
65,134.0,-12.775,-0.024999999999999,-0.08,0.05499999999999999,2.0,1000.0,1.0,90.0
66,136.0,-12.5975,-0.1225,-0.157499999999999,0.034999999999999,2.0,1000.0,1.0,90.0
67,138.0,-12.677500000000002,-0.1,-0.149999999999999,0.049999999999999004,2.0,1000.0,1.0,90.0
68,140.0,-12.675,-0.0175,-0.064999999999999,0.047499999999999,2.0,1000.0,1.0,90.0
69,142.0,-12.982499999999998,0.125,0.08,0.044999999999999,2.0,1000.0,1.0,90.0
70,144.0,-12.6075,-0.07250000000000001,-0.1225,0.05,2.0,1000.0,1.0,90.0
71,146.0,-12.629999999999999,0.052499999999999,-0.0075,0.06,2.0,1000.0,1.0,90.0
72,148.0,-12.307500000000003,-0.22749999999999998,-0.2775,0.05,2.0,1000.0,1.0,90.0
73,150.0,-12.497499999999999,-0.147499999999999,-0.185,0.0375,2.0,1000.0,1.0,90.0
74,152.0,-12.54,-0.032499999999999,-0.077499999999999,0.044999999999999,2.0,1000.0,1.0,90.0
75,154.0,-12.7375,-0.04,-0.107499999999999,0.067499999999999,2.0,1000.0,1.0,90.0
76,156.0,-12.649999999999999,-0.032499999999999,-0.067499999999999,0.034999999999999,2.0,1000.0,1.0,90.0
77,158.0,-12.742500000000001,0.042499999999999,-0.0175,0.06,2.0,1000.0,1.0,90.0
78,160.0,-12.695,-0.05,-0.11249999999999999,0.0625,2.0,1000.0,1.0,90.0
79,162.0,-12.455,-0.087499999999999,-0.135,0.0475,2.0,1000.0,1.0,90.0
80,164.00000000000003,-12.5975,-0.087499999999999,-0.135,0.0475,2.0,1000.0,1.0,90.0
81,166.0,-12.569999999999999,-0.044999999999999,-0.0625,0.0175,2.0,1000.0,1.0,90.0
82,168.0,-12.669999999999998,-0.012499999999999001,-0.0925,0.08,2.0,1000.0,1.0,90.0
83,170.0,-12.5575,0.09499999999999899,0.057499999999999996,0.037499999999999,2.0,1000.0,1.0,90.0
84,172.0,-12.752500000000001,0.09499999999999899,0.042499999999999,0.052499999999999,2.0,1000.0,1.0,90.0
